"Time","AccessDirection","Offset","Length","Filesize","ProcessID","ProcessName"
"2025-01-28T05:52:01.405096+00:00","read","0","131072","245825385","422656","file"
"2025-01-28T05:52:01.406015+00:00","read","131072","131072","245825385","422656","file"
"2025-01-28T05:52:01.406124+00:00","read","262144","131072","245825385","422656","file"
"2025-01-28T05:52:01.406919+00:00","read","524288","131072","245825385","422656","file"
"2025-01-28T05:52:01.406790+00:00","read","393216","131072","245825385","422656","file"
"2025-01-28T05:52:01.407434+00:00","read","655360","131072","245825385","422656","file"
"2025-01-28T05:52:01.407512+00:00","read","786432","131072","245825385","422656","file"
"2025-01-28T05:52:01.407949+00:00","read","917504","131072","245825385","422656","file"
"2025-01-28T05:52:01.408067+00:00","read","1048576","131072","245825385","422656","file"
"2025-01-28T05:52:01.408383+00:00","read","1179648","131072","245825385","422656","file"
"2025-01-28T05:52:01.408897+00:00","read","1441792","131072","245825385","422656","file"
"2025-01-28T05:52:01.408872+00:00","read","1310720","131072","245825385","422656","file"
"2025-01-28T05:52:01.409357+00:00","read","1572864","131072","245825385","422656","file"
"2025-01-28T05:52:01.409491+00:00","read","1703936","131072","245825385","422656","file"
"2025-01-28T05:52:01.409742+00:00","read","1835008","131072","245825385","422656","file"
"2025-01-28T05:52:01.409854+00:00","read","1966080","131072","245825385","422656","file"
"2025-01-28T05:52:01.410122+00:00","read","2097152","131072","245825385","422656","file"
"2025-01-28T05:52:01.410358+00:00","read","2359296","131072","245825385","422656","file"
"2025-01-28T05:52:01.410392+00:00","read","2228224","131072","245825385","422656","file"
"2025-01-28T05:52:01.410873+00:00","read","2621440","131072","245825385","422656","file"
"2025-01-28T05:52:01.410836+00:00","read","2490368","131072","245825385","422656","file"
"2025-01-28T05:52:01.411381+00:00","read","2752512","131072","245825385","422656","file"
"2025-01-28T05:52:01.411410+00:00","read","2883584","131072","245825385","422656","file"
"2025-01-28T05:52:01.411800+00:00","read","3145728","131072","245825385","422656","file"
"2025-01-28T05:52:01.411741+00:00","read","3014656","131072","245825385","422656","file"
"2025-01-28T05:52:01.412216+00:00","read","3276800","131072","245825385","422656","file"
"2025-01-28T05:52:01.412561+00:00","read","3407872","131072","245825385","422656","file"
"2025-01-28T05:52:01.412642+00:00","read","3538944","131072","245825385","422656","file"
"2025-01-28T05:52:01.412965+00:00","read","3670016","131072","245825385","422656","file"
"2025-01-28T05:52:01.413328+00:00","read","3932160","131072","245825385","422656","file"
"2025-01-28T05:52:01.413234+00:00","read","3801088","131072","245825385","422656","file"
"2025-01-28T05:52:01.414386+00:00","read","4063232","131072","245825385","422656","file"
"2025-01-28T05:52:01.415052+00:00","read","4194304","131072","245825385","422656","file"
"2025-01-28T05:52:01.416847+00:00","read","4325376","131072","245825385","422656","file"
"2025-01-28T05:52:01.417224+00:00","read","4456448","131072","245825385","422656","file"
"2025-01-28T05:52:01.418028+00:00","read","4587520","131072","245825385","422656","file"
"2025-01-28T05:52:01.418296+00:00","read","4718592","131072","245825385","422656","file"
"2025-01-28T05:52:01.418578+00:00","read","4849664","131072","245825385","422656","file"
"2025-01-28T05:52:01.418704+00:00","read","4980736","131072","245825385","422656","file"
"2025-01-28T05:52:01.419077+00:00","read","5111808","131072","245825385","422656","file"
"2025-01-28T05:52:01.419313+00:00","read","5242880","131072","245825385","422656","file"
"2025-01-28T05:52:01.419551+00:00","read","5373952","131072","245825385","422656","file"
"2025-01-28T05:52:01.420000+00:00","read","5505024","131072","245825385","422656","file"
"2025-01-28T05:52:01.420047+00:00","read","5636096","131072","245825385","422656","file"
"2025-01-28T05:52:01.420395+00:00","read","5767168","131072","245825385","422656","file"
"2025-01-28T05:52:01.420515+00:00","read","5898240","131072","245825385","422656","file"
"2025-01-28T05:52:01.420908+00:00","read","6160384","131072","245825385","422656","file"
"2025-01-28T05:52:01.420825+00:00","read","6029312","131072","245825385","422656","file"
"2025-01-28T05:52:01.421310+00:00","read","6291456","131072","245825385","422656","file"
"2025-01-28T05:52:01.421422+00:00","read","6422528","131072","245825385","422656","file"
"2025-01-28T05:52:01.421729+00:00","read","6553600","131072","245825385","422656","file"
"2025-01-28T05:52:01.421822+00:00","read","6684672","131072","245825385","422656","file"
"2025-01-28T05:52:01.422406+00:00","read","6815744","131072","245825385","422656","file"
"2025-01-28T05:52:01.422511+00:00","read","6946816","131072","245825385","422656","file"
"2025-01-28T05:52:01.422889+00:00","read","7077888","131072","245825385","422656","file"
"2025-01-28T05:52:01.423096+00:00","read","7208960","131072","245825385","422656","file"
"2025-01-28T05:52:01.423210+00:00","read","7340032","131072","245825385","422656","file"
"2025-01-28T05:52:01.423820+00:00","read","238481408","131072","245825385","422656","file"
"2025-01-28T05:52:01.424069+00:00","read","238612480","131072","245825385","422656","file"
"2025-01-28T05:52:01.424440+00:00","read","238743552","131072","245825385","422656","file"
"2025-01-28T05:52:01.424559+00:00","read","238874624","131072","245825385","422656","file"
