"Time","AccessDirection","Offset","Length","Filesize","ProcessID","ProcessName"
"2025-01-28T05:48:46.110329+00:00","read","0","131072","416751190","421658","file"
"2025-01-28T05:48:46.111481+00:00","read","262144","131072","416751190","421658","file"
"2025-01-28T05:48:46.111875+00:00","read","131072","131072","416751190","421658","file"
"2025-01-28T05:48:46.112669+00:00","read","393216","131072","416751190","421658","file"
"2025-01-28T05:48:46.113560+00:00","read","655360","131072","416751190","421658","file"
"2025-01-28T05:48:46.115586+00:00","read","524288","131072","416751190","421658","file"
"2025-01-28T05:48:46.116105+00:00","read","786432","131072","416751190","421658","file"
"2025-01-28T05:48:46.116223+00:00","read","917504","131072","416751190","421658","file"
"2025-01-28T05:48:46.116768+00:00","read","1048576","131072","416751190","421658","file"
"2025-01-28T05:48:46.117020+00:00","read","1179648","131072","416751190","421658","file"
"2025-01-28T05:48:46.117605+00:00","read","1310720","131072","416751190","421658","file"
"2025-01-28T05:48:46.117553+00:00","read","1441792","131072","416751190","421658","file"
"2025-01-28T05:48:46.118114+00:00","read","1703936","131072","416751190","421658","file"
"2025-01-28T05:48:46.120102+00:00","read","1572864","131072","416751190","421658","file"
"2025-01-28T05:48:46.120870+00:00","read","1835008","131072","416751190","421658","file"
"2025-01-28T05:48:46.121040+00:00","read","1966080","131072","416751190","421658","file"
"2025-01-28T05:48:46.121780+00:00","read","2097152","131072","416751190","421658","file"
"2025-01-28T05:48:46.122098+00:00","read","2228224","131072","416751190","421658","file"
"2025-01-28T05:48:46.122623+00:00","read","2359296","131072","416751190","421658","file"
"2025-01-28T05:48:46.123051+00:00","read","2490368","131072","416751190","421658","file"
"2025-01-28T05:48:46.124010+00:00","read","2621440","131072","416751190","421658","file"
"2025-01-28T05:48:46.124095+00:00","read","2752512","131072","416751190","421658","file"
"2025-01-28T05:48:46.125132+00:00","read","2883584","131072","416751190","421658","file"
"2025-01-28T05:48:46.125472+00:00","read","3014656","131072","416751190","421658","file"
"2025-01-28T05:48:46.126493+00:00","read","3145728","131072","416751190","421658","file"
"2025-01-28T05:48:46.126948+00:00","read","3276800","131072","416751190","421658","file"
"2025-01-28T05:48:46.129680+00:00","read","3538944","131072","416751190","421658","file"
"2025-01-28T05:48:46.129489+00:00","read","3407872","131072","416751190","421658","file"
"2025-01-28T05:48:46.130783+00:00","read","3801088","131072","416751190","421658","file"
"2025-01-28T05:48:46.140335+00:00","read","3670016","131072","416751190","421658","file"
"2025-01-28T05:48:46.140797+00:00","read","3932160","131072","416751190","421658","file"
